country_iso,country,PR1973,CL1973,PR1974,CL1974,PR1975,CL1975,PR1976,CL1976,PR1977,CL1977,PR1978,CL1978,PR1979,CL1979,PR1980,CL1980,PR1981,CL1981,PR1982,CL 1982,PR1984,CL1984,PR1985,CL1985,PR1986,CL1986,PR1987,CL1987,PR1988,CL1988,PR1989,CL1989,PR1990,CL1990,PR1991,CL1991,PR1992,CL1992,PR1993,CL1993,PR1994,CL1994,PR1995,CL1995,PR1996,CL1996,PR1997,CL1997,PR1998,CL1998,PR1999,CL1999,PR2000,CL2000,PR2001,CL2001,PR2002,CL2002,PR2003,CL2003,PR2004,CL2004,PR2005,CL2005,PR2006,CL2006,PR2007,CL2007,PR2008,CL2008,PR2009,CL2009,PR2010,CL2010,PR2011,CL2011,PR2012,CL2012,PR2013,CL2013,PR2014,CL2014,PR2015,CL2015,PR2016,CL2016,PR2017,CL2017,PR2018,CL2018,PR2019,CL2019,PR2020,CL2020,PR2021,CL2021,PR2022,CL2022,
HND,Honduras,7,3,6,3,6,3,6,3,6,3,6,3,6,3,6,3,4,3,2,3,3,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,
HRV,Croatia,6,6,6,6,6,6,6,6,6,6,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,5,5,5,4,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,
HTI,Haiti,7,6,6,6,6,6,6,6,6,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,5,4,6,5,7,5,7,5,4,4,7,7,7,7,7,7,5,5,5,5,4,5,4,5,5,5,5,5,6,5,6,6,6,6,6,6,7,6,7,6,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,
HUN,Hungary,6,6,6,6,6,6,6,6,6,6,6,5,6,5,6,5,6,5,6,5,6,5,6,5,5,5,5,5,5,4,5,4,4,3,2,2,2,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,2,2,3,2,3,2,3,3,3,3,3,3,3,3,
IDN,Indonesia,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,6,5,6,5,6,5,5,5,5,6,5,6,5,6,5,7,6,7,6,7,6,7,5,7,5,6,4,4,4,3,4,3,4,3,4,3,4,3,4,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,
IND,India,2,3,2,3,2,3,2,5,3,5,2,2,2,2,2,2,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,3,4,3,4,4,4,4,4,4,4,2,4,2,4,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,4,2,4,
IRL,Ireland,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
IRN,Iran,5,6,5,6,5,6,6,6,6,6,6,5,5,5,5,5,5,5,6,6,6,6,5,6,5,6,5,6,5,6,5,6,6,5,6,5,6,5,6,6,6,7,6,7,6,7,6,7,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,
IRQ,Iraq,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,6,7,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,5,6,5,6,6,6,6,6,6,5,6,5,6,5,6,6,6,5,6,6,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,
ISL,Iceland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
