ucid,BVALL,BVNR,pop100m,buildup100,Worldpop,gdp_new2
7269,3137537,0,63266.91757,0.746404,43317.40033,150568053.4
7270,3375921,5527,61139.30411,0.485359,14517.81689,103040439.8
7271,6888275,259779,58012.03715,1.359574,21549.54224,111676441.1
7272,53167579,9196231,428029.2189,7.215227,226925.2991,2801783872
7273,5782450,0,72731.62768,1.166877,36233.15796,327212302.3
7274,4093333,12923,59032.58695,0.94619,22257.20926,151961540.3
7275,37620242,161716,332808.7067,5.664458,172777.9684,580726058.5
7276,2123155,7239,30407.87274,0.514135,22117.88336,29929262.26
7277,4473277,0,51150.37183,0.658268,9040.406433,81206002.75
7278,8301914,4010527,43779.85637,1.28921,23091.39941,577455937
7279,1831692,0,28236.84941,0.394884,14773.55054,77928059.25
7280,4950048,83572,65391.99679,0.796072,18960.55377,28867157.63
7281,6724894,0,63785.35969,1.123507,15125.38763,61873130.13
7282,2236680,0,32939.55367,0.399088,13167.89221,53890.37109
7283,2968944,80014,45395.2396,0.567877,10860.43396,63564564.07
7284,2652439,194792,43157.27392,0.477277,13272.2041,61198906.78
7285,899275,0,16634.70267,0.215624,6460.243896,15103099.75
7286,3224678,0,36369.11688,0.572833,7384.929565,46894542.75
7287,1631820,0,15168.33941,0.351419,3832.531555,43378677
7288,92226756,1579737,762550.4666,12.628344,460765.5069,5616131601
7289,6916339,27882,65000.39291,1.174348,18176.56195,698902971.8
7290,5499455,0,57063.0499,0.829807,12050.53445,137542161.4
7291,6773918,0,57237.85385,1.148219,15619.82477,587356498.1
7292,12834799,0,113786.6271,2.060926,47385.16138,656773328.8
7293,4233522,0,39792.21743,0.693717,20072.84521,40352822.17
7294,2466702,0,20228.6247,0.499357,6588.776337,37555914.45
7295,11367599,26610,141078.5978,2.236707,48594.59451,477527671.6
7296,971028,0,17190.46344,0.247615,2363.641937,0
7297,2878920,32080,74636.20251,0.452481,14871.92065,0
7298,28906745,1610133,291572.2902,4.161057,111754.1125,1064176638
7299,34532750,3273306,293314.786,5.015835,174493.819,2132898291
7300,1685266,0,29834.8798,0.299472,2980.527222,82057385.75
7301,4428841,94320,76494.22944,0.746536,22796.91748,62776669.34
7302,7140272,2911130,37525.86368,0.85954,11349.82019,220283962
7303,839307,0,21790.93538,0.218421,6832.670563,3849858.445
7304,3374159,0,49887.89689,0.68812,24100.22046,611157201.2
7305,6461516,520103,54262.87691,0.948475,15438.8031,60252434.27
7306,3823642,0,65063.02609,0.659246,18137.35822,103674826.8
7307,3327400,33046,38818.56878,0.622783,13140.61426,53256918.46
7308,3279252,0,30481.79785,0.598228,6524.6474,443350505.5
7309,4286869,8774,109576.9315,0.806673,49052.16284,361118639.3
7310,8807454,0,149867.4845,1.418959,64740.01807,299608615.4
7311,6589920,0,89217.98609,1.079231,17479.60175,320845445.9
7312,1411735,0,30600.42213,0.349877,17015.3497,660281.125
7313,6125433,0,168217.106,0.791421,30823.83112,851985977.3
7314,5286165,0,54546.54309,0.898471,17759.69745,104370270.6
7315,6409626,0,65769.73847,0.969883,17200.98212,432209240.3
7316,5578286,0,110786.8196,0.928474,25924.21216,279762029.8
7317,1804646,0,31155.44072,0.298818,7013.934204,5864753.5
7318,5482502,5846,144295.6895,0.794833,19271.68896,290271476
7319,15525479,70829,310738.4234,2.640078,139930.0745,846820055.1
7320,8729557,309552,103580.8795,1.266724,25885.85226,443078462.5
7321,3405240,0,27345.38359,0.641508,12799.9032,51538457
7322,99870561,6060596,770048.6315,12.119235,290029.2083,6312177086
7323,17976341,0,318750.0173,2.842401,140022.7905,1090011012
7324,3663970,0,92470.40969,0.676798,25691.62689,154670436.4
7325,2479330,37435,31002.44338,0.429084,5420.073242,30170528
7326,151913,0,3086.969507,0.060968,5905.438461,0
7327,3496306,2837,50639.33416,0.620603,12706.54492,24483459.88
7328,3298662,0,74178.80269,0.570909,16963.06091,205001682.7
7329,5473365,0,99713.27494,1.020666,29624.32837,40541985.41
7330,14720307,949149,115254.141,2.529294,50515.0932,726932474.3
7331,1559588,7380,26649.733,0.369414,9333.183594,71863182.5
7332,8114115,184451,83022.34043,1.403237,28785.43414,99754412.7
7333,4367968,79089,48318.64567,0.797619,19775.39758,240125373
7334,2434095,0,47177.22404,0.399596,4389.419128,2143308.5
7335,127389,0,3653.957069,0.050689,8003.601761,16480152.83
7336,1983458,322,38420.40474,0.362826,5503.786621,1705537.75
7337,36860441,336935,394183.0131,4.524853,138081.9524,1376626930
7338,6128866,0,83622.7014,0.855992,18456.48364,388413364.5
7339,3178295,0,50000.58666,0.641809,7005.739838,64677695.81
7340,2679997,0,30328.76966,0.535445,6433.286926,78914538.75
7341,48826737,0,511355.6319,7.025463,340084.2997,3933861072
7342,4925417,0,44529.01042,0.827213,7759.629791,85312631.5
7343,2120557,0,29475.25389,0.49513,9351.460388,108762821.6
7344,1419941,0,45318.06705,0.352772,22820.42999,207387587
7345,2601762,0,59436.99083,0.426869,10689.89789,31501279
7346,3161984,28771,38734.4272,0.646038,12241.25238,128444008.8
7347,2733004,382870,25818.5643,0.60925,16125.21326,95623421.5
7348,19574104,44538,244980.2219,3.124303,62178.22797,4488866858
7349,2374105,0,22487.96366,0.558193,14933.08411,99440563.25
7350,6119467,0,123437.8035,0.967675,23696.71136,906532541.3
7351,488496,0,9602.49669,0.144111,16000.28946,6886195.5
7352,30212018,776668,346497.4866,4.481978,132850.0084,1178993731
7353,4150115,0,49122.24591,0.705717,13929.58954,130690956.5
7354,14361657,485,224672.8661,2.355068,94454.90625,589463816.1
7355,80969279,2174028,906245.8705,10.206649,444334.2649,3521027018
7356,3351024,0,84572.35207,0.587856,17682.42902,148979447.3
7357,7325772,99981,79621.15773,1.186696,27367.77356,236450052.4
7358,55305,0,653.6878732,0.022123,185.1051636,0
7359,1052303,0,20395.5615,0.24031,7467.575806,1522113.795
7360,4479421,5633,58796.97748,0.937385,22226.37042,100400651
