areaID,share_of_barrier_5km_nb,nonconvexity_5km_nb,share_of_barrier_10km_nb,nonconvexity_10km_nb,share_of_barrier_10km_b,nonconvexity_10km_b,detour_5km_nb,detour_5km_b,detour_10km_b,detour_10km_nb,nonconvexity_elastic_nb,nonconvexity_elastic_b,share_barrier_elastic_nb,share_barrier_elastic_b,nonconvexity_Mcircle,Mcircle_radius,nonconvexity_40km
65,0.097652468,0.000257173,0.273705954,0.000951022,0.273705954,0.000951022,0.782964446,0.782964446,0.708835204,0.708835204,0.010106207,0.010106207,0.471355745,0.471355745,0.019500732,36.7877358,0.015655518
66,0.073136006,0.003458333,0.156656891,0.032730293,0.156656891,0.032730293,0.558102883,0.558102883,0.566050836,0.566050836,0.04125404,0.04125404,0.157181341,0.157181341,0.151123047,18.11610145,0.065368652
67,0,0,0.016594831,0.008324997,0.016594831,0.008324997,0.887062309,0.887062309,0.788975527,0.788975527,0.04006492,0.04006492,0.097056395,0.097056395,0.034881592,20.37143321,0.117736816
68,0.024308588,0.010172066,0.028255155,0.024128051,0.028255155,0.024128051,0.425424208,0.425424208,0.442148971,0.442148971,0.022069944,0.022069944,0.021443515,0.021443515,0.028457642,34.7325302,0.020751953
69,0.020191059,0.017745905,0.020553109,0.016970843,0.020553109,0.016970843,0.651018027,0.651018027,0.564591422,0.564591422,0.064147532,0.064147532,0.122139078,0.122139078,0.073547363,2.686561293,0.041564941
70,0.042013564,0.017929042,0.062762872,0.044357136,0.062762872,0.044357136,0.686758321,0.686758321,0.677676903,0.677676903,0.047824409,0.047824409,0.064782497,0.064782497,0.040344238,9.457260981,0.029708862
71,0.0025429,0.002649906,0.000670075,0.001174393,0.000670075,0.001174393,0.411723191,0.411723191,0.436124451,0.436124451,0.003710028,0.003710028,0.003586797,0.003586797,0.010276794,13.95429931,0.003004074
72,0.002124132,0.003651452,0.002141455,0.00238502,0.002141455,0.00238502,0.571844413,0.571844413,0.533302815,0.533302815,0.00548491,0.00548491,0.006832604,0.006832604,0.003936768,7.987289863,0.019073486
73,0.001207905,0.000645856,0.207242751,0.009953424,0.207242751,0.009953424,0.488544984,0.488544984,0.481047871,0.481047871,0.011082218,0.011082218,0.202543317,0.202543317,0.021560669,26.2040343,0.055206299
74,0.061482761,0.010276017,0.203358138,0.028881671,0.203358138,0.028881671,0.82771069,0.82771069,1.050204053,1.050204053,0.005229178,0.005229178,0.050405693,0.050405693,0.012779236,6.004075911,0.100097656
75,0.000803009,0.001374005,0.0070976,0.003854697,0.0070976,0.003854697,0.656079492,0.656079492,0.669822872,0.669822872,0.011095315,0.011095315,0.008629124,0.008629124,0.009422302,4.916551023,0.008995056
76,0.036360716,0.000828034,0.258134624,0.021628564,0.258134624,0.021628564,0.685078377,0.685078377,0.597206376,0.597206376,0.124278232,0.124278232,0.511672716,0.511672716,0.121276855,30.10801428,0.136230469
77,0.000209602,0.000119466,0.001352264,0.000158632,0.001352264,0.000158632,0.624427018,0.624427018,0.640819135,0.640819135,0.002306804,0.002306804,0.002329939,0.002329939,0.001962662,4.09511183,0.014907837
78,0,0,0,0,0,0,0.607918051,0.607918051,0.655429544,0.655429544,0,0,0.000233177,0.000233177,0,4.789816902,0.005092621
79,0.000657419,0.000414277,0.002240243,0.001760754,0.002240243,0.001760754,0.593827155,0.593827155,0.463811652,0.463811652,0.025523294,0.025523294,0.039138931,0.039138931,0.017242432,21.54349308,0.04598999
80,0,0,0.004345779,0.002554962,0.004345779,0.002554962,0.584384463,0.584384463,0.484071302,0.484071302,0.003509328,0.003509328,0.003599191,0.003599191,0.002906799,16.62085691,0.003217697
81,0.010418378,0.001123443,0.00638169,0.007859646,0.00638169,0.007859646,0.602784194,0.602784194,0.543036854,0.543036854,0.011845077,0.011845077,0.010873272,0.010873272,0.011787415,17.93350471,0.049041748
82,0.004376652,0.005783741,0.016579224,0.011202577,0.016579224,0.011202577,0.665848376,0.665848376,0.539381026,0.539381026,0.016907161,0.016907161,0.023517519,0.023517519,0.030441284,28.36262632,0.021530151
83,0,0,0.022483943,0.011843685,0.022483943,0.011843685,0.501812249,0.501812249,0.541596471,0.541596471,0.019664468,0.019664468,0.023500962,0.023500962,0.015686035,17.39061252,0.012794495
84,0,0,1.66E-05,1.05E-06,1.66E-05,1.05E-06,0.777471661,0.777471661,0.663924425,0.663924425,0.000289759,0.000289759,0.000782069,0.000782069,0.000570774,4.877086223,0.001930237
85,0.004361247,0.003286034,0.04207227,0.02049469,0.04207227,0.02049469,0.460398432,0.460398432,0.483667519,0.483667519,0.060432546,0.060432546,0.064719487,0.064719487,0.039794922,40.73522497,0.063354492
86,0.155770386,0.000529945,0.288355819,0.011146677,0.288355819,0.011146677,0.661364253,0.661364253,0.619782421,0.619782421,0.022336412,0.022336412,0.315971262,0.315971262,0.004169464,13.09314826,0.060028076
87,0.262301531,0.085837334,0.278802939,0.081830435,0.278802939,0.081830435,0.909347229,0.909347229,0.907178909,0.907178909,0.085708544,0.085708544,0.289314922,0.289314922,0.034301758,3.863440539,0.085144043
88,0,0,0.015578815,0.003644291,0.015578815,0.003644291,0.774821495,0.774821495,0.669303062,0.669303062,0.026485406,0.026485406,0.035885506,0.035885506,0.027420044,17.20961279,0.030700684
