GHUB_ID,share_of_barrier_5km_nb,nonconvexity_5km_nb,share_of_barrier_10km_nb,nonconvexity_10km_nb,share_of_barrier_5km_b,nonconvexity_5km_b,share_of_barrier_10km_b,nonconvexity_10km_b,detour_5km_nb,detour_10km_nb,detour_5km_b,detour_10km_b,nonconvexity_elastic_nb,nonconvexity_elastic_b,share_barrier_elastic_nb,share_barrier_elastic_b,detour_40km_b,share_barrier_40km_b,nonconvexity_40km_b
4533,0.003006242,0.004906617,0.001535585,0.001576185,0.003006242,0.004906617,0.001535585,0.001576185,0.670988535,0.653742577,0.670988535,0.653742577,0.00614311,0.00614311,0.020259184,0.020259184,,,
4534,0.027945458,0.025682159,0.010896295,0.015722163,0.027945458,0.025682159,0.010896295,0.015722163,0.705946635,0.65315444,0.705946635,0.65315444,0.015269015,0.015269015,0.023983656,0.023983656,,,
4535,0.012025134,0.015783161,0.003407468,0.005840368,0.012025134,0.015783161,0.003407468,0.005840368,0.813255741,0.924196136,0.813255741,0.924196136,0.003782088,0.003782088,0.011264915,0.011264915,,,
4536,0.000368202,0.000363323,0.003718009,0.000894647,0.000368202,0.000363323,0.003718009,0.000894647,0.848931655,0.777424777,0.848931655,0.777424777,0,0,0.000978265,0.000978265,,,
4537,0.003109547,0.005003021,0.000936348,0.001582799,0.003109547,0.005003021,0.000936348,0.001582799,0.549261056,0.529935786,0.549261056,0.529935786,0.015686056,0.015686056,0.013260892,0.013260892,,,
4538,0.000449157,0.000727519,0.000664272,0.000672712,0.000449157,0.000727519,0.000664272,0.000672712,0.65837821,0.733333797,0.65837821,0.733333797,0.003668289,0.003668289,0.002652236,0.002652236,,,
4539,0.015946,0.018469278,0.009880268,0.010664164,0.015946,0.018469278,0.009880268,0.010664164,0.748285177,0.764072567,0.748285177,0.764072567,0.022102939,0.022102939,0.035455643,0.035455643,,,
4540,0.003782314,0.002994017,0.001163065,0.001807729,0.003782314,0.002994017,0.001163065,0.001807729,0.780283254,0.64147049,0.780283254,0.64147049,0,0,0.000954841,0.000954841,,,
4541,0.000243481,0.000420668,0.009818972,0.010084114,0.000243481,0.000420668,0.009818972,0.010084114,1.342911536,1.044646088,1.342911536,1.044646088,0,0,0.000186156,0.000186156,,,
4542,0.002553827,0.003611943,0.001631448,0.001691742,0.002553827,0.003611943,0.001631448,0.001691742,0.593825044,0.559811764,0.593825044,0.559811764,0.020051604,0.020051604,0.01383277,0.01383277,,,
4543,0.005376267,0.003480908,0.013218877,0.010071775,0.005376267,0.003480908,0.013218877,0.010071775,0.863343199,0.932178888,0.863343199,0.932178888,0,0,0.000657854,0.000657854,,,
4544,0,0,0.007034279,0.004826021,0,0,0.007034279,0.004826021,0.43778452,0.405212458,0.43778452,0.405212458,0.136141583,0.136141583,0.274389722,0.274389722,0.615952988,0.003801086,0.002027958
4545,0.296007143,0.100137159,0.408557176,0.061513621,0.296007143,0.100137159,0.408557176,0.061513621,1.358370335,1.083702974,1.358370335,1.083702974,,,,,,,
4546,0.215002973,0.034870528,0.329896882,0.04383247,0.215002973,0.034870528,0.329896882,0.04383247,0.603957915,0.879372712,0.603957915,0.879372712,0.0353796,0.0353796,0.236729071,0.236729071,,,
4547,0.059703382,0.017018389,0.265614997,0.070382737,0.059703382,0.017018389,0.265614997,0.070382737,0.81378478,0.725209417,0.81378478,0.725209417,0.06474033,0.06474033,0.248372329,0.248372329,,,
4548,0.374434008,0.023433514,0.326959146,0.050545435,0.374434008,0.023433514,0.326959146,0.050545435,0.911103875,0.857327529,0.911103875,0.857327529,0.048693944,0.048693944,0.330771516,0.330771516,,,
4549,0.013794689,0.004422135,0.065169396,0.026849173,0.013794689,0.004422135,0.065169396,0.026849173,0.698175109,0.784256806,0.698175109,0.784256806,0.015180879,0.015180879,0.034318946,0.034318946,,,
4550,0.001971111,5.87E-05,0.009996828,0.004634468,0.001971111,5.87E-05,0.009996828,0.004634468,0.677033906,1.053088033,0.677033906,1.053088033,0.002469631,0.002469631,0.003958699,0.003958699,,,
4551,0.022553004,0.019486781,0.011873588,0.014914281,0.022553004,0.019486781,0.011873588,0.014914281,0.648524369,0.710837996,0.648524369,0.710837996,0.016731778,0.016731778,0.01715856,0.01715856,,,
4552,0.064952239,0.035857067,0.07491521,0.052161817,0.064952239,0.035857067,0.07491521,0.052161817,0.820987022,0.843191888,0.820987022,0.843191888,0.041754745,0.041754745,0.056086749,0.056086749,,,
4553,0,0,0.002905585,0.001793466,0,0,0.002905585,0.001793466,0.5444484,0.704390485,0.5444484,0.704390485,0,0,0.000241726,0.000241726,,,
4554,0.138512489,0.029420557,0.252765042,0.048912942,0.138512489,0.029420557,0.252765042,0.048912942,0.764622298,0.81054147,0.764622298,0.81054147,0.033446644,0.033446644,0.206025384,0.206025384,,,
4555,0.010097004,0.005946309,0.009984415,0.009208809,0.010097004,0.005946309,0.009984415,0.009208809,0.613962289,0.823418813,0.613962289,0.823418813,0.00933159,0.00933159,0.012410903,0.012410903,,,
4556,0.000660436,0.000845656,0.001392382,0.000894159,0.000660436,0.000845656,0.001392382,0.000894159,0.624555952,0.747696648,0.624555952,0.747696648,0.000900968,0.000900968,0.001031234,0.001031234,,,
4557,0.003890755,0.000943668,0.010020447,0.008142964,0.003890755,0.000943668,0.010020447,0.008142964,0.792150761,0.824175309,0.792150761,0.824175309,0.000663382,0.000663382,0.000937519,0.000937519,,,
4558,0.013306915,0.003602338,0.030186012,0.023028545,0.013306915,0.003602338,0.030186012,0.023028545,1.799062772,1.319651713,1.799062772,1.319651713,0,0,0.000472518,0.000472518,,,
4559,0.345493047,0.071176633,0.456851896,0.08589413,0.345493047,0.071176633,0.456851896,0.08589413,0.707334446,0.77516176,0.707334446,0.77516176,0.073028222,0.073028222,0.369572011,0.369572011,,,
4560,0.219457587,0.032087199,0.276926426,0.026497994,0.219457587,0.032087199,0.276926426,0.026497994,0.678788614,0.744847557,0.678788614,0.744847557,0.036455549,0.036455549,0.221933853,0.221933853,,,
4561,0.328066348,0.012230915,0.404706838,0.016113618,0.328066348,0.012230915,0.404706838,0.016113618,1.001225344,0.910287549,1.001225344,0.910287549,0.012233761,0.012233761,0.299783413,0.299783413,,,
4562,0.119006199,0.061727613,0.151834924,0.123084046,0.119006199,0.061727613,0.151834924,0.123084046,0.697851734,1.025163557,0.697851734,1.025163557,0.059874732,0.059874732,0.110632556,0.110632556,,,
4563,0.003525684,0.000838685,0.014558974,0.007898666,0.003525684,0.000838685,0.014558974,0.007898666,1.010755704,0.950593497,1.010755704,0.950593497,0,0,0.000480602,0.000480602,,,
4564,0.000385719,0.000152269,0.004058931,0.003488905,0.26615856,0.112343989,0.004058931,0.003488905,0.748940476,0.797035537,0.748940476,0.797035537,0,0,0.000395371,0.000395371,,,
4565,0.033136068,0.00694533,0.215960917,0.079211295,0.033136068,0.00694533,0.215960917,0.079211295,0.768028513,0.846353412,0.768028513,0.846353412,0.002599289,0.002599289,0.002351935,0.002351935,,,
4566,0,0,0.000571543,3.49E-05,0.139787195,0.051605169,0.000571543,3.49E-05,0.957731036,0.849674766,0.957731036,0.849674766,0,0,0.000978262,0.000978262,,,
4567,0.01286042,0.013217249,0.061613414,0.023560591,0.01286042,0.013217249,0.061613414,0.023560591,0.61485814,0.58801936,0.61485814,0.58801936,0.013913958,0.013913958,0.017937132,0.017937132,,,
