GHUB_ID,precip2015,temp2015,GDP,elevation,biom,soil,climate,capital,riverba,costal,UE_Area,CONTINENT,Country,countr_iso,ucid,pop100,BU100,Vol_tot,Vol_non,gdp2
36,1325.408203,19.84166908,78532240670,40,Temperate Broadleaf and Mixed Forests,Planosols,"Mild temperate, fully humid, and  Hot summer",0,0,1,1444.187337,Oceania,Australia,AUS,13076,1980079.963,285991750,2353198588,394130498,74861614767
37,569.8461456,14.21409988,1.26E+11,77,Temperate Broadleaf and Mixed Forests,Planosols,"Mild temperate, fully humid, and  Warm summer",0,0,1,1490.286208,Oceania,Australia,AUS,13023,3304735.787,383461639,3105170022,638392555,1.24E+11
38,1022.919983,16.72666931,1.45E+11,68,Temperate Broadleaf and Mixed Forests,Planosols,"Mild temperate, fully humid, and  Hot summer",0,0,1,1308.596953,Oceania,Australia,AUS,13043,3527917.45,309748489,2924414566,395055386,1.41E+11
39,311.6917877,16.33680916,45125099705,115,Deserts and Xeric Shrublands,Calcisols,"Mild temperate with dry summer, and  Hot summer",0,0,1,755.2346513,Oceania,Australia,AUS,12977,1158944.635,184602598,1409079923,170516542,39991313702
40,1460.440796,20.05167007,20503447967,49,Temperate Broadleaf and Mixed Forests,Acrisols,"Mild temperate, fully humid, and  Hot summer",0,0,1,394.4957313,Oceania,Australia,AUS,13075,533287.3396,73424446,629599408,71359540,18212129709
41,1086.58493,17.93215752,11097142287,25,Temperate Broadleaf and Mixed Forests,Planosols,"Mild temperate, fully humid, and  Hot summer",0,0,1,204.2697276,Oceania,Australia,AUS,13047,248318.7727,35372325,312758561,44196507,9328783296
42,802.0873718,18.36978722,4101332495,491,"Tropical and Subtropical Grasslands, Savannas and Shrublands",Kastanozems,"Mild temperate, fully humid, and  Hot summer",0,MURRAY,0,101.9177584,Oceania,Australia,AUS,13069,101102.2583,20459461,157514601,20925682,3654543273
43,497.7247468,14.07289982,5573555766,38,Temperate Broadleaf and Mixed Forests,Solonetz,"Mild temperate, fully humid, and  Warm summer",0,0,1,96.47237273,Oceania,Australia,AUS,13007,149722.3556,26997543,207215594,30444573,4997297072
44,563.0749512,24.33853722,5549807684,34,"Tropical and Subtropical Grasslands, Savannas and Shrublands",Luvisols,Tropical savannah with dry winter,0,0,1,107.4045049,Oceania,Australia,AUS,13072,136837.9512,28771876,223165480,37369867,4281310253
45,910.4854432,17.55714226,31531447.39,125,Temperate Broadleaf and Mixed Forests,Planosols,"Mild temperate, fully humid, and  Hot summer",0,0,0,71.71751576,Oceania,Australia,AUS,0,131.870589,412116,2292722,1356149,3150081.627
46,260.7499924,20.90139961,2025661817,45,"Mediterranean Forests, Woodlands and Scrub",Arenosols,"Mild temperate with dry summer, and  Hot summer",0,0,1,81.71770349,Oceania,Australia,AUS,0,34476.8632,7669046,49127335,3695211,1790397271
47,396.6556091,14.81295586,2796648752,228,Temperate Broadleaf and Mixed Forests,Planosols,"Mild temperate, fully humid, and  Warm summer",0,MURRAY,0,75.07730411,Oceania,Australia,AUS,0,72588.45697,16279920,125858054,10840009,2303834090
48,1047.974853,16.8739624,6497074530,168,Temperate Broadleaf and Mixed Forests,Phaeozems,"Mild temperate, fully humid, and  Hot summer",0,0,1,98.12890435,Oceania,Australia,AUS,13039,148452.5429,21068439,209152467,50926716,5632744023
49,227.1836014,17.82083321,853459457.1,23,Deserts and Xeric Shrublands,Calcisols,"Mild temperate with dry summer, and  Hot summer",0,0,1,50.19317906,Oceania,Australia,AUS,0,22891.20332,5511552,31648198,3732530,626813176.8
50,793.1372681,16.73749924,2078317.513,173,Temperate Broadleaf and Mixed Forests,Planosols,"Mild temperate, fully humid, and  Hot summer",0,0,0,50.2095439,Oceania,Australia,AUS,0,9.76531445,30271,80096,0,1505421.581
51,1045.642822,16.70832825,4417337246,124,Temperate Broadleaf and Mixed Forests,Acrisols,"Mild temperate, fully humid, and  Hot summer",0,0,1,59.19452912,Oceania,Australia,AUS,13041,110061.6671,12688684,105418189,13065988,3589054404
52,891.8122559,17.09583664,8022574.287,144,Temperate Broadleaf and Mixed Forests,Planosols,"Mild temperate, fully humid, and  Hot summer",0,0,0,108.4754071,Oceania,Australia,AUS,0,129.0894026,290058,780434,0,8413034.567
53,1069.770905,17.67975616,8223208943,74,Temperate Broadleaf and Mixed Forests,Planosols,"Mild temperate, fully humid, and  Hot summer",0,0,1,73.81591574,Oceania,Australia,AUS,13043,204509.9243,14908139,134804092,8450113,7320648090
54,441.5999909,13.43928528,2724584115,463,Temperate Broadleaf and Mixed Forests,Planosols,"Mild temperate, fully humid, and  Warm summer",0,MURRAY,0,60.66464749,Oceania,Australia,AUS,13012,71533.66397,13846974,107352714,17911471,2222405010
55,209.3374558,17.60103798,1410585679,53,"Mediterranean Forests, Woodlands and Scrub",Calcisols,"Mild temperate with dry summer, and  Hot summer",0,MURRAY,0,60.34402112,Oceania,Australia,AUS,0,36560.26731,9133039,53805172,5399665,1397914113
56,584.3998718,10.93752098,2841210854,182,Temperate Broadleaf and Mixed Forests,Planosols,"Mild temperate, fully humid, and  Warm summer",0,0,1,51.53950437,Oceania,Australia,AUS,12943,84945.99775,13078017,162331363,14591650,2348953471
57,1745.57135,24.23807144,2933351211,86,Tropical and Subtropical Moist Broadleaf Forests,Cambisols,Tropical monsoon,0,0,1,47.37512522,Oceania,Australia,AUS,13073,70309.63539,13176936,109567170,19365460,2511765716
58,1045.642822,16.70832825,1788841079,103,Temperate Broadleaf and Mixed Forests,Acrisols,"Mild temperate, fully humid, and  Hot summer",0,0,1,49.79742594,Oceania,Australia,AUS,13041,47632.9622,8110482,61141945,8032416,1692160821
59,900.5749512,12.87291622,3133723492,629,Temperate Broadleaf and Mixed Forests,Planosols,"Mild temperate, fully humid, and  Warm summer",0,MURRAY,0,43.05163874,Oceania,Australia,AUS,13036,50424.01472,7136492,51446725,4815866,2923505197
60,746.4500885,16.38957596,1390275027,439,Temperate Broadleaf and Mixed Forests,Planosols,"Mild temperate, fully humid, and  Hot summer",0,MURRAY,0,37.61719905,Oceania,Australia,AUS,0,34508.35074,7946210,57341447,6757288,1241594433
