GUB_ID,share_of_barrier_10km_nb,nonconvexity_10km_nb,share_of_barrier_5km_nb,nonconvexity_5km_nb,share_of_barrier_5km_b,nonconvexity_5km_b,share_of_barrier_10km_b,nonconvexity_10km_b,detour_5km_nb,detour_10km_nb,detour_5km_b,detour_10km_b,nonconvexity_elastic_nb,nonconvexity_elastic_b,share_barrier_elastic_nb,share_barrier_elastic_b
11522,0.015162351,0.017712316,0.02964017,0.01213693,0.02964017,0.01213693,0.015162351,0.017712316,1.012438924,0.858934189,1.012438924,0.858934189,0.011091338,0.011091338,0.011868582,0.011868582
11523,0.006647482,0.005521958,0.002699136,0.00234758,0.002699136,0.00234758,0.006647482,0.005521958,0.645800839,0.55734401,0.645800839,0.55734401,0.001281134,0.001281134,0.001239971,0.001239971
11524,0.00934293,0.008857337,0.006719082,0.005603398,0.006719082,0.005603398,0.00934293,0.008857337,0.540512166,0.516378271,0.540512166,0.516378271,0.003577677,0.003577677,0.005098325,0.005098325
11525,0.003471243,0.003463073,0.004606965,0.001460175,0.004606965,0.001460175,0.003471243,0.003463073,0.570473834,0.483012411,0.570473834,0.483012411,0,0,0.000401568,0.000401568
11526,0.015581802,0.010047946,0.004201865,0.004661107,0.004201865,0.004661107,0.015581802,0.010047946,0.64150724,0.529479577,0.64150724,0.529479577,0.001382502,0.001382502,0.007949994,0.007949994
11527,0.121735711,0.071109414,0.061197844,0.01482504,0.061197844,0.01482504,0.121735711,0.071109414,0.628616181,0.634621746,0.628616181,0.634621746,0.020021344,0.020021344,0.091174579,0.091174579
11528,0.001348535,0.001338512,0.000175268,0.000266294,0.000175268,0.000266294,0.001348535,0.001338512,0.555298536,0.510567001,0.555298536,0.510567001,0,0,0.001046906,0.001046906
11529,0.155097415,0.040132254,0.026217681,0.002367689,0.026217681,0.002367689,0.155097415,0.040132254,0.663719162,0.610780102,0.663719162,0.610780102,0,0,0.001027774,0.001027774
11530,0.003173751,0.002729806,0.00124483,0.001147058,0.00124483,0.001147058,0.003173751,0.002729806,0.500635368,0.53271486,0.500635368,0.53271486,0.000411188,0.000411188,0.0025332,0.0025332
11531,0.019187702,0.024392301,0.036484481,0.029016176,0.036484481,0.029016176,0.019187702,0.024392301,0.836509807,0.49581856,0.836509807,0.49581856,0.035909973,0.035909973,0.029545674,0.029545674
11532,0.003532008,0.003323132,0.003775933,0.003791718,0.003775933,0.003791718,0.003532008,0.003323132,0.482490233,0.412009959,0.482490233,0.412009959,0.016434386,0.016434386,0.0224278,0.0224278
11533,0.010796312,0.007591944,0.005366553,0.004656747,0.005366553,0.004656747,0.010796312,0.007591944,0.645592267,0.472992641,0.645592267,0.472992641,0.005439126,0.005439126,0.007909453,0.007909453
